index,Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes,compound,positive,negative,neutral_sentiment,anger,disgust,fear,joy,neutral,sadness,surprise
0,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Tae,Product did not seem safe to use.,"All of the barrier rings came in a resealable bag, like a ziploc baggie. All others i have ordered always came in the Brava box. Each individual ring had been opened and seemed like they had been tampered with or handled. Some of them were smashed. Does not seem safe to use.",10/24/2024,1.0,Yes,0,0.2718,0.093,0.072,0.835,0.049856845289468765,0.0955580621957779,0.01464726310223341,0.002337606390938163,0.7365612387657166,0.039968281984329224,0.06107074022293091
1,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Alexis,All of the packages are open,9 out of 10 of the packages were already opened. They also came in a plastic bag and not the original box. Just want people to be aware in case they aren't comfortable with this,1/27/2024,3.0,Yes,0,-0.521,0.036,0.13,0.834,0.0033645303919911385,0.0054655116982758045,0.0029119765385985374,0.002567311516031623,0.9216673374176025,0.008689908310770988,0.055333420634269714
2,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",minimeme,VERY THIN!!,"I have had a colostomy now for 6 yrs. I thought I would try these out to see how they do. The adhesive ring is very very thin. In fact I had to put two of them together to get the proper seal, so that I would not have leakage.  If you think this adhesive ring will shave you money, it won't because of its thinness you won't feel secure enough & will worry about leakage.",2/15/2023,3.0,Yes,4,-0.6041,0.0,0.07,0.93,0.018712254241108894,0.0084987236186862,0.5474534034729004,0.030173445120453835,0.3468766212463379,0.018776826560497284,0.02950861304998398
3,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Bryan Assata,Repackaged,"I received these wafers repackaged, which draws speculation on the validity of the product. For a ""medical appliance"", I will not use items repackaged.  To many possibilities of contamination.",1/8/2023,3.0,Yes,5,0.0,0.0,0.0,1.0,0.09735991060733795,0.3888634145259857,0.17611223459243774,0.0053323437459766865,0.2936631739139557,0.02918345294892788,0.009485469199717045
4,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",hengis man,Too many leaks,I bought these thinking it was a bargain. I should have worried when I saw the Turkish origin point and that they do NOT come in a box. I have used about 20 and either they don't adhere very well or there is leakage sooner or later. Going back to Hollister. Or maybe I will get a better option going to the manufacturer and paying full price.,1/16/2024,1.0,Yes,0,0.1203,0.074,0.066,0.86,0.02039608545601368,0.006977901794016361,0.07665194571018219,0.006893940735608339,0.7782301306724548,0.014335401356220245,0.09651455283164978
5,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",White,Read carefully,Moldeable ring works better as an adhesive rather than a protective barrier again leakage,3/19/2021,3.0,Yes,0,0.34,0.188,0.097,0.714,0.05845797061920166,0.14873483777046204,0.03283562883734703,0.009667637757956982,0.7173455357551575,0.019719554111361504,0.013238701038062572
6,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Holly Connor,Item was not new in the original package,Item I received was a different item number the advertised. Item was in a plastic bag and not in the original package. Each ring is individually sealed. The seal on every ring had been broke (each seal was open),7/23/2023,1.0,Yes,4,-0.5365,0.033,0.122,0.845,0.028584333136677742,0.03419509530067444,0.003705803072080016,0.003981046844273806,0.7772362232208252,0.02558325231075287,0.12671425938606262
7,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",andrea.essence,Product VERY SUSPECT,Bundle of 10 rings repackaged in random plastic sealed with scotch tape. The individual packets of every single ostomy ring open and completely unsealed. NOT STERILE. Beware!,10/3/2023,1.0,Yes,2,0.0,0.0,0.0,1.0,0.03197268769145012,0.06663835048675537,0.40938419103622437,0.003527158871293068,0.43603768944740295,0.024559831246733665,0.02788016013801098
8,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Dke,Worst name brand seal iv ever bought,The worst seals iv bought usually buy Hollister but needed seals fast figured they were name brand so should be ok boy was I wrong iv went through 6 in 2 days I usually average 1-2 every 4 or 5 days never ordering these again,12/30/2022,1.0,Yes,0,-0.543,0.07,0.146,0.784,0.04635924845933914,0.02823237143456936,0.009198947809636593,0.014071037992835045,0.24584414064884186,0.2101900726556778,0.44610413908958435
9,"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Jennifer O.,Not in original packaging and individual packaging not secure,I ordered these because of the pricing and next day shipping. However when I received them they were not in the original box as shown on the product photo and the individual wrappers were already open. Being that they were purchased for a child I did not feel comfortable using them with the seals already being open.,3/24/2022,1.0,Yes,3,-0.5667,0.0,0.084,0.916,0.004902853164821863,0.06507831066846848,0.03721962869167328,0.07477546483278275,0.7981906533241272,0.007817067205905914,0.012015944346785545
