index,Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes,compound,positive,negative,neutral_sentiment,anger,disgust,fear,joy,neutral,sadness,surprise
0,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,MagicFlowers,Not sure about the hype,"This is massively expensive for such a small amount but I went with it out of feeling paranoid with first time microneedling.  I'm not sure this price point is actually necessary for a gentle sunscreen but I'll have to test out some cheaper options when this runs out and I go for my next session.  I will say the tinted version is quite nice to sub for foundation when your skin isnt quite ready.If I wasnt using this for after treatments, there's no way I'd pay this much though.",10/12/2024,3,Yes,0,0.3392,0.102,0.098,0.799,0.00608599279075861,0.0008137107361108065,0.9784053564071655,0.0015026334440335631,0.007420708891004324,0.001854553702287376,0.0039172302931547165
1,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,Yanbing,Extremely cakey on my face,I really wish to like it because EltaMD has had good reviews. I used this sunscreen about 7-8 years ago and remembered it being cakey on my face. After this many years I thought the formula would improved but it just feels the same. Very disappointed - especially given the price.,10/5/2024,3,Yes,0,0.0744,0.145,0.084,0.771,0.0021125173661857843,0.0033290586434304714,0.0006844886229373515,0.008843107149004936,0.02212640270590782,0.934074878692627,0.028829457238316536
2,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,Amazon Customer,Good sunscreen,Good sunscreen however there’s something in the product that makes my face feel itchy. Must be allergic to something in there.,10/26/2024,3,Yes,0,-0.1027,0.115,0.171,0.714,0.0510319247841835,0.28599801659584045,0.09453257918357849,0.007223276421427727,0.11158072203397751,0.4409392774105072,0.008694210089743137
3,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,Simba,Not a fan of the feel,"This made me realize I need to find a chemical sunscreen that doesn’t burn since I often avoid wearing mineral sunblocks because I can feel them on my skin all day. This one is no different. It looks greasy when it goes on and feels drier as the day progresses. There’s a heaviness that feels like having foundation on. If you sweat at all, it will be dripping down your face. One pro is that it didn’t seem to have much of a white cast.",9/19/2024,3,Yes,0,-0.2263,0.03,0.053,0.917,0.005181601271033287,0.6743866801261902,0.008144564926624298,0.004271126817911863,0.1624002754688263,0.13942475616931915,0.006191105116158724
4,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,Michelle Wong,good texture but have peel off issues with my NARS foundation,"As a regular user of sunscreen products, I was excited to try out this new sunscreen. However, after using it, I encountered some unexpected issues that left me rather disappointed.Prior to applying the sunscreen, I had already completed my skincare routine, using a vitamin C serum and a day cream. When I then applied this sunscreen and proceeded to apply my NARS foundation, I noticed that the foundation started to flake and peel off. This caused me to have to remove the previous skincare products I had applied, which was an inconvenient and undesirable outcome.Interestingly, I have not experienced this issue with other sunscreen brands brought from Japan that I have used in the past. The fact that this sunscreen seemed to interfere with my makeup application/skincare was quite puzzling and frustrating.Overall, while the sunscreen may have provided the necessary UV protection, the incompatibility with my existing skincare and makeup products was a significant drawback. As a consumer, I value products that seamlessly integrate into my routine without causing disruptions. Unfortunately, this sunscreen did not live up to my expectations in this regard.I would caution others who have a similar multi-step skincare and makeup routine to exercise caution when trying this sunscreen, as it may not play nicely with other products. It's always a good idea to do a patch test first to ensure compatibility before committing to using the product regularly.In summary, while this sunscreen may work for some, in my personal experience, it fell short of providing a smooth and hassle-free application experience. I would not recommend this product, especially for those who have a skincare and makeup routine.",8/8/2024,2,Yes,0,0.7022,0.074,0.044,0.882,0.02178920805454254,0.03898204490542412,0.03349573165178299,0.005143867339938879,0.3735213875770569,0.3179093599319458,0.20915843546390533
5,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,Debra,Disappointed.,I have tried so many facial sunscreens. I bought this as it says it will not leave white cast or pill. It does pill. I put it on under makeup and it looks like my face is peeling. Won’t buy again.,9/15/2024,3,Yes,0,0.3915,0.092,0.0,0.908,0.04720382019877434,0.22410649061203003,0.009621490724384785,0.003036007983610034,0.5936930179595947,0.10234767943620682,0.019991539418697357
6,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,Gregory A Springer,"pump didn't work , but like product",This is my go to daily sunscreen.  It is light but hydrates well.  Unfortunately this is the second time I've received this that the pump was dysfunctional after multiple attempts I couldn't get the product out.,9/12/2024,3,Yes,0,-0.1154,0.068,0.08,0.852,0.007337213959544897,0.010624500922858715,0.01393747515976429,0.012756801210343838,0.41180992126464844,0.4869203269481659,0.05661371350288391
7,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,Donna,Very drying,"Pros: This was recommend by my dermatologist because most sunscreens causes my skin to break out on my face. This is a very light weight sunscreen. I have not had any breakouts. I do like that despite it having zinc oxide is absorbs quickly and does not leave white streaks like other skin oxide sunscreens.Cons: I found this sunscreen to be extremely drying. I have to use a very thick moisturizer days after to recover. I would not be able to use this sunscreen daily for this reason.While my bottle has not had this issue, I could see that the pump could malfunction. It uses an internal pump that works by causing pressure within the bottle to draw the lotion upward. You cannot open the bottle without cracking it so if the pump malfunctions your very expensive sunscreen is not usable.",7/13/2024,3,Yes,0,0.6649,0.062,0.016,0.922,0.02687941864132881,0.0678878203034401,0.007381115108728409,0.017233967781066895,0.7929689884185791,0.07499527931213379,0.012653428129851818
8,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,keypads,leave white marks on my face like other cheaper products,I paid $45 for this expensive sun screening lotion; it leaves white marks on my face that is like cheaper sun screening products.I Do Not recommend this expensive product.,9/10/2024,3,Yes,0,0.1002,0.082,0.069,0.849,0.0344633087515831,0.44604113698005676,0.009797746315598488,0.005066119134426117,0.35503825545310974,0.12702880799770355,0.022564597427845
9,"EltaMD UV Clear Face Sunscreen SPF 46, Oil Free Sunscreen with Zinc Oxide, Dermatologist Recommended Sunscreen, 1.7 oz Pump",,Lorraine A. Bauer,It works for Rosacea,I like the product but two times now the pump did not work.  Its not worth the money if you have to force it apart so you can use the product.  That is rather disappointing.,9/19/2024,3,Yes,0,-0.6756,0.045,0.161,0.794,0.006242512725293636,0.007441404741257429,0.004102384205907583,0.007467541843652725,0.018976088613271713,0.8686909675598145,0.08707913756370544
