index,Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes,compound,positive,negative,neutral_sentiment,anger,disgust,fear,joy,neutral,sadness,surprise
0,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Wangyanli,It feels stinging when used,"I use it as a toner, but when I apply it to my face with a cotton pad, it stings, so I guess it's not suitable for my skin.",10/7/2024,3.0,Yes,0,0.0,0.0,0.0,1.0,0.016087498515844345,0.842503011226654,0.009947414509952068,0.0012423067819327116,0.10094393789768219,0.027166103944182396,0.002109761582687497
1,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Jonni,Citric Acid is a no go for me,"I'm sure this product works well for some people, however for me, the citric acid makes my cheeks flare up. It's so painful when I use it on my skin. I ended up giving it to my brother-in-law. I guess it's not for everyone. Make sure you try putting lemon juices on your face to see if you can use this toner!",10/2/2024,3.0,Yes,0,0.5648,0.14,0.056,0.804,0.04093923047184944,0.28287872672080994,0.08288653939962387,0.006691232323646545,0.18969866633415222,0.37123119831085205,0.025674428790807724
2,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",SR,Meh.,"Not sure what this is supposed to do, but it feels like literally splashing water on your face. No discernible effects. I bought the unscented version because I wanted to continue using my other cologne. I would almost rather use my old witch hazel, though, because I actually do miss that clean-smelling scent.",9/10/2024,3.0,Yes,0,-0.6347,0.057,0.166,0.776,0.006456777453422546,0.9255142211914062,0.007484727073460817,0.0007153383921831846,0.045746810734272,0.009074486792087555,0.005007535219192505
3,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",AJ,Decent toner,Decent toner but not my favorite. Like it for getting makeup residue off,9/1/2024,3.0,Yes,0,-0.7082,0.0,0.349,0.651,0.012804683297872543,0.5092648267745972,0.0085148261860013,0.02195846475660801,0.314923495054245,0.12184421718120575,0.01068949420005083
4,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",shar,Bottle was leaking,"When I opened the box and took bottle out, it was wet and cap was loose.  I unscrewed cap and the seal was half way ripped off, so product was not sealed.  In todays day and age I don’t trust using a product that the seal was broke on.",8/11/2024,3.0,Yes,0,-0.2023,0.065,0.101,0.833,0.0694614127278328,0.16493819653987885,0.05473455786705017,0.005194594617933035,0.4507681727409363,0.11785755306482315,0.13704553246498108
5,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Shanice,No changes,I have seen any improvement with my skin it’s still the same am not sure if I have to wait for some more time and continue to use it. But I if I don’t see any changes for the coming month I will not be buying it again,7/29/2024,3.0,Yes,0,0.1328,0.045,0.033,0.922,0.012958614155650139,0.03002142161130905,0.018410494551062584,0.008100227452814579,0.7810548543930054,0.1331549733877182,0.016299361363053322
6,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Cruncher,A bit disappointed…,"Toner was sticky and made face feel tight. I guess I expected it to feel more hydrating. It also came with a sticker that stretched from one side, over the cap, and to the other. This ensures no leakage but damaged the label of my toner upon removal.",7/13/2024,3.0,Yes,0,-0.6652,0.0,0.112,0.888,0.037066370248794556,0.39241334795951843,0.017787586897611618,0.004232143051922321,0.5012335181236267,0.03015405498445034,0.017113028094172478
7,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Yellow Earrings,Oh well...,"My bad. I can't really rate the effectives of the product. But I wish the ad would include warnings for people with skin conditions. I thought since this didn't contain alcohol, but does contain aloe, that I could use it. But I have lupus skin and rosacea. An astringent is a no-no for these conditions. Ya live and learn.Oh, and this product makes no provision for returns, even if unopened.",6/12/2024,3.0,Yes,0,-0.5106,0.05,0.11,0.84,0.021686092019081116,0.3262348175048828,0.01179905328899622,0.004188866354525089,0.5139433741569519,0.10607008635997772,0.016077695414423943
8,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Hope C,Works well but smells super strong.,"It definitely gets all the residue and dirt off my face after I use my makeup remover, but it has a very strong scent- for that reason I won’t be purchasing again",6/29/2024,3.0,Yes,0,0.7218,0.196,0.049,0.755,0.05778856202960014,0.5384460091590881,0.0480627566576004,0.012093771249055862,0.22334007918834686,0.11175056546926498,0.00851824227720499
9,"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",doggie lover,Disappointed,The reviews were great so I figured to try this. I really didn't like how it made my dace feel.,7/24/2024,3.0,Yes,0,0.4042,0.182,0.106,0.711,0.03631284087896347,0.50005704164505,0.0034101703204214573,0.05945334956049919,0.2989119589328766,0.0925457775592804,0.009308871813118458
