index,Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes,compound,positive,negative,neutral_sentiment,anger,disgust,fear,joy,neutral,sadness,surprise
0,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Kindle Customer,Helps but is not the best.,Still painful for my daughter's Dexcom and Omnipod changes but better than nothing. Can doesn't last long.We like Uni-solve better.,9/24/2024,3.0,Yes,0,0.623,0.272,0.163,0.565,0.0020420176442712545,0.00837269052863121,0.006665408611297607,0.0028125308454036713,0.020761556923389435,0.9531081318855286,0.006237588357180357
1,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Tonya,Good stuff,Will not purchase again good but over priced,12/25/2023,3.0,Yes,0,-0.1786,0.0,0.196,0.804,0.006262882612645626,0.0043965354561805725,0.0019874796271324158,0.0016607129946351051,0.025482522323727608,0.9502700567245483,0.009939725510776043
2,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",BW,Total Waste Of Money!,"My son is T1 diabetic.  He wears an insulin pump & dexcom. We have been an avid user of Unisolve for years to remove his sites but since Unisolve has been discontinued, I’ve been on the hunt for a new adhesive remover. THIS IS NOT IT!! Extremely expensive for such a little bottle, especially given it does not work. If it worked, I wouldn’t mind the price. Today is pump site change day. Sprayed on his old site area. Waited 5 minutes. Nothing. Sprayed more. Waited 5 more minutes. Nothing. Sprayed more. Waited 5 more mins. Nothing. Total of 30mins waiting. It was like I was spraying water on his old site, it did absolutely nothing to the adhesive left on his skin. Total waste money!!! Save yourself the money & headache, this product is useless.",11/26/2023,1.0,Yes,0,0.4438,0.074,0.053,0.873,0.175556480884552,0.22842469811439514,0.01036324817687273,0.003931046929210424,0.2874045670032501,0.10975010693073273,0.18456989526748657
3,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Travelhunter,Does not last very long; very expensive,Spray can to remove adhesive of ostomy appliances; very expensive and does not last long.  Disappointed.,10/16/2022,3.0,Yes,0,0.3724,0.145,0.0,0.855,0.002034651581197977,0.004746139049530029,0.0016196629730984569,0.002513329265639186,0.014953935518860817,0.9512891173362732,0.02284327894449234
4,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Jan Rose 🌹,It’s okay,"Prefer other brands such as Sensi, this one works but not as good. Will not purchase again as it’s already pricey.",8/16/2022,3.0,Yes,0,-0.4782,0.0,0.135,0.865,0.010037961415946484,0.03870414197444916,0.003362686838954687,0.00591618474572897,0.7655254602432251,0.16672873497009277,0.009724886156618595
5,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Sandi,This does not work!,"This did nothing to remove adhesive on my skin.  Extremely expensive for the tiny amount.  Tried to return, but it’s ineligible for return or refund.",3/19/2024,1.0,Yes,0,0.0,0.0,0.0,1.0,0.006347278133034706,0.008133845403790474,0.009362829849123955,0.003856642870232463,0.06503342092037201,0.8502114415168762,0.05705445632338524
6,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Amazon Customer,Arrived empty,The bottle I ordered arrived completely empty.,1/26/2024,1.0,Yes,0,-0.2716,0.0,0.295,0.705,0.1867409646511078,0.2827245891094208,0.012162062339484692,0.0031936403829604387,0.12011024355888367,0.23768597841262817,0.1573825627565384
7,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",R,Only lasted 2 uses,"The product itself is great. I used this for removing k-tape and it literally came off in seconds. I just spray all over the tape, wait about 5-10 seconds, and then peel it off easily.The problem is the amount of product. It literally only lasted 2 uses. I was shocked because I don't feel like I used an excessive amount or anything. I received this product for free to write a review so I'm good, but for people who buy this I think it's way too expensive for how little you get in the container.Great product, but so not worth the money unless they provide a bigger size.",10/16/2022,2.0,No,0,0.0817,0.064,0.071,0.865,0.0067274379543960094,0.005864656530320644,0.001643660943955183,0.0016174956690520048,0.00947367399930954,0.0022486522793769836,0.9724244475364685
8,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Christina Hagestad,Did not remove adhesive,I used this to try to remove adhesive and it didn’t work. Ended up using almost the whole bottle and did not work. Threw it away after.,10/17/2022,1.0,No,0,0.0,0.0,0.0,1.0,0.29502955079078674,0.2624591588973999,0.00835032295435667,0.0018849250627681613,0.20999474823474884,0.19708412885665894,0.025197090581059456
9,"ConvaTec ESENTA Adhesive Remover Spray for Around Stomas and Wounds, Sting Free, Alcohol Free, 50 mL Bottle (Pack of 1)","The new ESENTA Sting-Free Adhesive Remover is a skin-friendly, quick, and easy way to get rid of the adhesive residue that often gets left behind during ostomy pouch changes. ConvaTec ESENTA Sting Free Adhesive Remover is available in two options: spray can or individual wipes. Formerly known as Sensi-Care, the 100% silicone-based ESENTA Adhesive Remover helps reduce potential skin damage like skin-stripping while quickly removing all remaining adhesive residue. It's made without natural rubber latex, which makes it ideal for those with latex allergies or sensitivities. Plus, your skin will feel silky and smooth with no residue left behind, whether you use the ESENTA Sting-Free Adhesive Remover Spray or the ESENTA Sting-Free Adhesive Remover Wipes.",Cliente Amazon,,"Muy caro, no dura nada y no facilita quitar el adhesivo más que el propio aceite de oliva.",6/23/2024,,Yes,0,-0.5267,0.0,0.227,0.773,0.028921525925397873,0.06253951042890549,0.0632854700088501,0.015621638856828213,0.7748091816902161,0.020523201674222946,0.03429943695664406
