Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Tae,Product did not seem safe to use.,"All of the barrier rings came in a resealable bag, like a ziploc baggie. All others i have ordered always came in the Brava box. Each individual ring had been opened and seemed like they had been tampered with or handled. Some of them were smashed. Does not seem safe to use.",10/24/2024,1,Yes,0
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Alexis,All of the packages are open,9 out of 10 of the packages were already opened. They also came in a plastic bag and not the original box. Just want people to be aware in case they aren't comfortable with this,1/27/2024,3,Yes,0
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",minimeme,VERY THIN!!,"I have had a colostomy now for 6 yrs. I thought I would try these out to see how they do. The adhesive ring is very very thin. In fact I had to put two of them together to get the proper seal, so that I would not have leakage.  If you think this adhesive ring will shave you money, it won't because of its thinness you won't feel secure enough & will worry about leakage.",2/15/2023,3,Yes,4
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Bryan Assata,Repackaged,"I received these wafers repackaged, which draws speculation on the validity of the product. For a ""medical appliance"", I will not use items repackaged.  To many possibilities of contamination.",1/8/2023,3,Yes,5
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",hengis man,Too many leaks,I bought these thinking it was a bargain. I should have worried when I saw the Turkish origin point and that they do NOT come in a box. I have used about 20 and either they don't adhere very well or there is leakage sooner or later. Going back to Hollister. Or maybe I will get a better option going to the manufacturer and paying full price.,1/16/2024,1,Yes,0
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",White,Read carefully,Moldeable ring works better as an adhesive rather than a protective barrier again leakage,3/19/2021,3,Yes,0
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Holly Connor,Item was not new in the original package,Item I received was a different item number the advertised. Item was in a plastic bag and not in the original package. Each ring is individually sealed. The seal on every ring had been broke (each seal was open),7/23/2023,1,Yes,4
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",andrea.essence,Product VERY SUSPECT,Bundle of 10 rings repackaged in random plastic sealed with scotch tape. The individual packets of every single ostomy ring open and completely unsealed. NOT STERILE. Beware!,10/3/2023,1,Yes,2
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Dke,Worst name brand seal iv ever bought,The worst seals iv bought usually buy Hollister but needed seals fast figured they were name brand so should be ok boy was I wrong iv went through 6 in 2 days I usually average 1-2 every 4 or 5 days never ordering these again,12/30/2022,1,Yes,0
"Brava Ostomy Ring 2 mm Thick, Diameter 2 Inch, Moldable 120307, 10 Ct","The Coloplast Brava Ostomy Moldable Ring is a durable seal that provides a secure fit between the stoma and the pouch. It works well for ileostomies and urostomies. The Coloplast Brava moldable ring protects the skin from stoma output while absorbing moisture without breaking down or dissolving. This enables the ring to maintain a constant fit throughout the wear time.The Coloplast moldable ring adheres to the skin, even with creases or folds, providing confidence and comfort. It's simple to mold into a shape that fits the contours of the body. It provides constant even pressure, securing the gap between the barrier and stoma to prevent leaks. The moldable ostomy ring guides output directly into the pouch, so it never touches the skin. - The Coloplast Brava moldable ring maintains a secure fit between the stoma and the pouch. It adheres to uneven skin surfaces as a tight and constant seal that stops leakage. The moldable ostomy ring safeguards the skin from stoma output, preventing moisture-causing irritation. The ring doesn't breakdown or dissolve. It's easy to mold the Coloplast moldable ring to fit the wearer.",Jennifer O.,Not in original packaging and individual packaging not secure,I ordered these because of the pricing and next day shipping. However when I received them they were not in the original box as shown on the product photo and the individual wrappers were already open. Being that they were purchased for a child I did not feel comfortable using them with the seals already being open.,3/24/2022,1,Yes,3
