Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,Amore,Not My Favorite from the Paula's Choice Lineup,"Since menopause, although my skin is still oily in areas and I seem to retain a build-up of dead, dull skin, especially in those oily zones. I have to admit, I was using a facial cleanser from a pricey cosmetic site that was great because you would gently exfoliate your skin, leave it on for a short time, then rinse it off. However, that product was expensive, and inconvenient because I had to pay for shipping, unless I spent a bit more. So, I was looking for a replacement. I chose Paula's Choice Skin Perfecting Exfoliant because I love other products from the company. It has Salicylic Acid, which is good for the skin and, according to other reviews, exfoliates well. The problem is that you wash your face, then apply this product and leave it on. Unfortunately, I find it somewhat oily and can feel it on my skin, which is uncomfortable. Because of that, I use it only at bedtime. So far, it hasn’t worked as well as the previous product. I’m uncertain if this is because it isn’t as effective, or because I don’t use it as much as I should since I don’t like the way it feels. So, for me, it isn’t the right product to fit my needs.",11/1/2024,3,Yes,0
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,Níco,I think it’s good?,"I’m going to be honest with you I did not look at the size of the bottle before I bought it so when it came as a teeny tiny travel size for like the price of a full size I was a little taken aback but I used it anyway. I have no idea what it does. I can’t tell the difference. I was confused that it was a liquid exfoliate and that you didn’t need water to use it, but I’m not a skin care guru so I have no idea. I did get it in my mouth once and it was disgusting but I keep using it and it’s not doing anything bad so that’s a plus.",10/15/2024,3,Yes,3
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,Bevin,Does what it says,"This toner is not for sensitive skin. It will do what it promises though and purge those pores. For someone with sensitive skin that meant a a breakout all over my nose for me, in the form of painful cystic acne. This may work for people with less sensitive skin, but it was not for me.",10/31/2024,3,Yes,0
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,Kim H,Definitely An Exfoliant!,"Bought due to high reviews, but still deciding if I like this product. For sure - use ONLY at night because it is definitely an exfoliant.  You don't want to include this in your day regiment to see skin flaking off as you apply make-up.  I don't exactly agree with their claim of hydrating. It doesn't dry one out but there is no additional hydrating affect that I can tell.  It is just neutral which is nice for an exfoliating product.  I live in AZ so hydration is a major part of skin care for me. This is exfoliating but not hydrating in my opinion.  And when you think on it, exfoliating and hydrating is an oxymoron.  I don't know how it would do with retinal at night as I've read mixed reviews on using this together with a retinoid - some say definitely don't do, others say it's ok. I tend to be more cautious and have not done.  I'm thinking this could be useful one or two nights a week where one doesn't use a retinoid, or during days when not going anywhere.  On the plus plus side, it has no odor, and for the money it is ALOT of product.  I can see this lasting several years.  Age 55, combo skin, occasional acne. As I said, still deciding if I like and/or need this.",5/26/2024,3,Yes,43
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,leo,i think it's not for me,"so many people have good experiences eith this so i think maybe just my skin didn't like it. i have never had sensitive skin. usually things work for me. so when i kept being recommended this, i thought i should give it a go. it didn't do anything for my acne or skin, it didn't tone at all.in fact it made my skin dry out immensely before becoming an oil slick immediately after and it made me break out in hives on my chin, mouth corners, forehead, under eyes/cheeks, and eye brow/eyelid areas.the instructions say not to rinse it off so i didn't but when i noticed that even with just using it once or twice a week (after three months of every other day as it says) it was only making my skin tough and flakey and break out more and caused hives on me. i started to rinse it off but that didn't help either. what helped was completely stopping using it and my skin STILL isn't back to normal.",8/5/2024,3,Yes,4
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,Nutts,Expensive for the volume,You don't realize how small 1oz is until you see this bottle.,10/16/2024,3,Yes,0
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,Not for narrow feet,Didn’t see to do anything for me,"I’ve used this for a few months. Cycling with a mild retinol, hydrating moisturizer and vitamin c. I can’t attribute any skin changes to this product specifically. I feel whether I used it or not my skin was the same.The vitamin C (ROC) made the biggest difference in skin texture and pigmentation. I’ll give it another try.Tiny bottle but you don’t need much.",10/2/2024,3,Yes,0
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,Cat Pham,Quality,"It doesn't work on my face.my fave is oily skin. While using this product, my face break out more and more. Omg, so terrible! 🥲🥲",9/4/2024,3,Yes,0
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,Bittersweetie,Not sure,I'm not really sure what this is supposed to do I can't really tell if it is doing anything but so far it's not hurting anything either so I guess I'll keep at it.,8/28/2024,3,Yes,0
"Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant-Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines",,Amazon Customer,Love BUT,"Loved this product. The first one I ordered I saw great results so I ordered a second. When I opened the cap, it had a weird smell like mildew. I didn’t feel like the product was working so I ordered another thinking maybe I had gotten a bad batch, but the third one came and has the same mildew smell. Extremely weird. I have stopped using it b/c of this. I really wish this wasn’t the case b/c I really liked it.",7/29/2024,3,Yes,2
