Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",Patricia Purvis,Hard to mold,Product required too much manipulation to mold,12/19/2023,2,Yes,0
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",Starfinder,Not useful for me.,"In general these have not worked well for me. I think that for a permanent ostomate where the stone retracts to skin level and a flat wafer lies flush against the skin, being able to patch with this would be a godsend.But when one uses a moldable barrier under a convex wafer, as I do, it's redundant at best. Get the right wafer size, cut it carefully, find a moldable barrier that works for you and you should be ok.",11/16/2016,3,Yes,2
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",Amazon Customer,Not for me,Too soft for me...,10/27/2019,3,Yes,0
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",Renee S Ngobeh,It doesn't work well,The product doesn't work well I still had leakage using it.,5/10/2023,1,Yes,0
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",Cheryll,One Star,Don't waste your money...,2/4/2017,1,Yes,0
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",Brian,Invaluable for wound vac use,Enables a tight seal over toes when using a wound vac.,3/16/2024,5,Yes,0
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",Alli Wait,game changer for uneven areas,This has been a saving grace for our ostomy user.  The strips are able to fit in some odd spaces from scarring that we have around the stoma. And it doesn't stick to my hands as much as the tube paste,12/17/2023,5,Yes,2
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",A. John Gironda III,"Oh, this stuff is GOOOOOD! (esp. if you've an ostomy close to an open wound)","100% like. No dislikes.If you have an ostomy close to an open wound (e.g. due to colon surgery) and need a barrier, this product is great.Product withstands acid from ileostomy, serving as a great barrier to keep fecal matter out of a nearby wound.  Great stick to skin, and product has enough strength to hold up to wound dressing stresses (unlike the soft paste in a tube).",1/4/2023,5,Yes,6
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",Shannon D,Ileostomy must have,These paste strips have been a game changer. Decreased skin irritation and leaks.,7/27/2023,5,Yes,0
"Brava Alcohol-Free Ostomy Barrier Moldable Strip Paste, 2 oz, 1 Count, 10 Packs, 10 Total","Fill deep stoma folds with Brava ostomy paste sticks. This ostomy paste works to form a custom seal between the user's skin and any applied skin barrier, creating an even surface on the skin. This ostomy strip paste ensures that no fluids leak out of the stoma through the folds of the skin barrier. As the paste is moldable and flexible, users can simply tear off the portion of paste they need to seal their stoma and conform it to any shape needed for a proper fit. Keep the unused portion of the ostomy stick preserved in its individual packaging. Using this paste can also prolong the effectiveness of your skin barrier, allowing you to wear it for longer throughout the day. Containing no alcohol or latex, this paste is very gentle on the skin.",bruce millar,good,I have used before and I believe it has helped,10/15/2022,4,Yes,0
