Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.",Julissa,Just perfect!,"First time I order the item the lid was broken and I reported that to Amazon. Found the product was good, easy to spread on the skin, quickly absorbed and non-greasy. It also helped a lot with the dryness and itchiness of my skin so I ordered a second one. I'm very pleased with the product.",11/2/2024,5,Yes,0
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.",Shay,BEST MOISTURIZER I・・VE EVER USED,The only negative thing I have to say is that I wish I used this product sooner. I・・ve seen it around in the stores thinking it won・・t be better than the more expensive moisturizers I・・ve used but I was so wrong.I chemically burned my sensitive face with a stupid clay mask a while ago and have been trying anything that would get rid of the dryness and rough patches the burn left on my face. I used this product along with a new serum but this is what I really like about this cream:1. Can be used for body AND face2. It・・s HUGE (20 oz) for the price and will probably last me months3. There・・s no lingering smell/pleasant no-smell smell4. Sooooo moisturizing5. I have no more dry patches from my burn6. It・・s great for dry lips as wellI always appreciate a product that works well for so many things that you can buy at an affordable price. Definitely a life changer for me.I received the product on schedule and undamaged. Thanks!,8/26/2024,5,Yes,19
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.","Mike / vegas   this seems to b great  T my daily glucose down a bit, I am t 2  also calming great taste many spices in it ,lastly sine tea bag is. Biodegradable less waste  definitely good purchase  may go on my auto ship , have a great day all",Great  moisturizer for anyone,"I have been using Cetaphil for quite a while nowNo real scent, and it works very wellAs a deep moisturizer vs. A  pump bottleLotionWhich can. Be thin and not penetrateWellJust a good product. Great price",10/1/2024,5,Yes,3
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.",Alli A.,Best Ever,"I have been trying so many creams by major and minor brands.This far exceeds all others.I was diagnosed with severe eczema and this is a dream to find.  The brand my dermatologist suggested fell way short. Other creams end up flaking off 6-7 hrs later, just vanishes or doesn't moisturize in the long run.This stays emollient and moisturizes to the max all day and eve. without being greasy.  The price is fantastic too. I don't itch anymore either.I highly recommend this over all other brands that promise but doesn't deliver.Gosh, take the leap! I cant sing it praise enough. It's liberating to have found this. Enjoy",10/23/2024,5,Yes,0
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.",Autumn,"Great rich, non-greasy moisturizer","I live in a very dry climate and have been using this on my face and body. It does a great job at softening the skin, it・・s easy to spread and doesn・・t have a heavy, oily feel. I have also been using tretinoin, which makes my skin very dry and peel-y and this moisturizer helps combat that. I have super acne-prone skin as well and this doesn・・t aggravate that condition despite being so rich.This cream didn・・t irritate my skin or cause any burning or stinging. It・・s fragrance free and simple. Great option for those with dry skin! Definitely give this one a go.",9/4/2024,5,Yes,3
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.",Randall Reade,I use this nightly,"I'm a 62 year old man, and I realized I need to moisturize daily. The lotion is thick and creamy, so I can easily scoop up some in my fingers and apply over my entire face.  I first cleanse my face with a toner (rose scented witch hazel) and then apply a glop of this over my face and neck.  (many people neglect their neck).  I do it every night before bed.If I apply too much, it feels slightly greasy on my face. There is no scent I can detect. In the morning, I've notice my creases and wrinkles are far less, and my skin looks smooth and fully moisturized.",6/27/2024,4,Yes,27
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.",Kindle Customer Josie,Worth it!,Looking for full lasting moisture? This product does that. Smells good light on body and lasts more than half the day. Texture is not oily but goes on smooth. Good for dry skin,10/13/2024,5,Yes,0
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.",Erin Buser,Excellent product for moisturizing,I have tried so many different brands and types of lotions.  This is by far the best I have ever used.  My hands don・・t get dry throughout the day.  I use it on my legs and face as well and feel moisturized all day long.  Excellent product!,10/24/2024,5,Yes,0
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.",Stephon McCray,From Good to Great: Why I Switched from Cetaphil to EVIL GOODS,"I have been a long-time fan of Cetaphil Face & Body Moisturizer. Its hydrating moisturizing cream for dry to very dry, sensitive skin is a fantastic product. The 20 oz size offers great value, and I appreciated its non-greasy formula, which always left my skin feeling hydrated without any sticky residue. Plus, the fact that it・・s fragrance-free and non-comedogenic made it perfect for my sensitive skin. For years, Cetaphil was my go-to moisturizer because it worked effectively and fit seamlessly into my skincare routine.However, as I became more conscious of the ingredients in my skincare products, I started to worry about the chemicals I was putting on my body. Even though Cetaphil was working well for me, I couldn・・t ignore the fact that it contains over 20 different ingredients, including some chemicals that I couldnt even pronounce and wasn・・t comfortable using long-term. This realization led me to explore more natural alternatives, and that・・s when I discovered EVIL GOODS Whipped Beef Tallow and Honey Balmhttps://www.amazon.com/dp/B0CZDGNZLD.This product is a game-changer. Made from grass-fed, grass-finished beef tallow and honey, EVIL GOODS Balm is unscented and incredibly versatile. It・・s not just a face cream or body lotion・・it can also be used as a lip balm. With only four natural ingredients, it・・s the epitome of clean skincare. Unlike other skin care products, which contain phthalates, parabens, and petrochemicals, EVIL GOODS offers a purer, more wholesome option.After switching to evil goods, I・・ve noticed significant improvements in my skin・・s texture and hydration levels. It・・s even more moisturizing than Cetaphil, leaving my skin soft and supple without any greasy feeling. The balm absorbs beautifully and provides long-lasting hydration, making my skin feel healthier and more resilient. It・・s particularly effective for sensitive skin and conditions like eczema and rosacea because it・・s free from essential oils and fragrances, which can sometimes irritate sensitive skin.I am now a lifelong customer of EVIL GOODS and swear by its effectiveness. I believe everyone should make the switch to this incredible product. The simplicity of its ingredients list・・just beef tallow, honey, and a few others・・contrasts starkly with the lengthy list of chemicals in many mainstream moisturizers. This minimalist approach means I・・m no longer exposing my skin to unnecessary chemicals, and the results speak for themselves.Cetaphil is good, but EVIL GOODS is great and truly represents the future of skincare. It provides superior moisturizing, uses natural ingredients, and softens the skin better than any other product I・・ve tried. If you・・re looking for a product that・・s perfect for sensitive skin and free from harmful chemicals, evil goods whipped beef tallow and honey balm is the one for you. Your skin and health will thank you for making the switch to a more natural, effective, and gentle skincare routine.",7/13/2024,5,Yes,31
"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy","Care for your dry to very dry skin with CETAPHIL Moisturizing Cream, a non-greasy, moisture rich cream for the whole body. Enriched with sweet almond oil and vitamin E, it immediately comforts and instantly hydrates dry, sensitive skin. Formulated with a new blend of key ingredients: hydrating glycerin, panthenol (vitamin B5) to hydrate, soothe and preserve the skin barrier, and niacinamide (vitamin B3) to help smooth skin texture and retain skin moisture barrier. For long lasting hydration, this extra strength face & body moisturizer binds water to the skin to deeply replenish the skins moisture and prevent moisture loss, hydrating and soothing skins dryness for 48 hours and completely restoring the skins moisture barrier in one week. Ideal for very dry areas of skin on the hands, feet, elbows and knees, leaving your skin feeling soft, smooth and nourished. This fragrance free, paraben free, and sulfate free formula will not clog pores and is clinically tested for even the most gentle skin. Effectively defends against 5 signs of skin sensitivity.",Road Scholar,Good stuff,"I work outside in a dry environment (desert). Usually with gloves, but I need to wash my hands a lot, since I'm working with animals.I usually use Eucerin, but ran out, and saw (yes, TV rides again!) a commercial about this product and decided to try it.Much less residue than the above mentioned product, and seems to reduce the cracking of dry skin on my hands much faster. Base on my experience, will buy this again.",10/22/2024,5,Yes,0
