Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",joe,Don't buy,The glue that holds the velcro drain closed is not even strong enough to hold the bag closed. The velcro holds but the glue on the bag let's go of the velcro and just opens in the middle of the night. This is not a one off either. Every pouch out of this lot has done it so far.,9/16/2024,1,Yes,0
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",Brezze,Decent & Affordable,"I've been using this product for a few month now...it works well for 2-3days.*2 cons: occasionally leakage & sometimes the built in air filter hits my stoma, which hurts & has caused me to bleed once. However the affordability has been a blessing.",4/9/2024,3,Yes,0
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",MBWireman,Great product but always delayed,"I have a subscription for these every month for my nephew, and he hasn't had any problems with them. The only problem I do have is how often they are delayed. My nephew needs these asap. NOT the next day or the day after that!",4/30/2024,3,Yes,0
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",Mel Rochelle G.B,"Sticking, fingerings it did not do!! The seal is forever leaking",Leaks all the time,10/19/2024,2,Yes,0
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",S King,Is there any such thing as a bag that does not smell???,"These bag are ok for home use, they do stick better than any I have tried. My problem is that EVERY SINGLE BRAND claims to be odor proof and NONE OF THEM ARE. This one is no exception.If anyone can recommend a brand that is one-piece and NO CLIPS, I would be greatly appreciative.",12/23/2023,3,Yes,0
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",Joe David Zuniga,Too narrow,"Not as wide as Coloplast,if you have a small round stoma,these are great,,not good for oval,or 25cmx35 size stoma",3/15/2024,3,Yes,0
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",Barbara Taylor,Clamps,Does not come with clamps.  Ordered by mistake but bags were neeeded immediately.  I did not have the option of returning for replacement.,8/4/2024,2,Yes,0
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",John R Morgan,Very leakage prone.,"In my case, they were leaking every time I used them. The adhesive bond between them and my skin would fail within hours, no matter how clean and dry my skin was. The one piece design was easier to apply than other brand's two piece design, but the rapid leaks outweighed that benefit.",6/15/2024,2,Yes,0
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",simplman,Every single bag has failed,Like the mesh so others can not see the contents. Like the filter. Sad part is every single bad has failed. After only a few hours and after only a little amount of waste the material on the skin side splits and waste leaks all over. Great design but overall bad material.,10/29/2023,3,Yes,4
"Carbou 20 PCS Colostomy Bags,Ostomy Supplies,One Piece Drainable Ostomy Pouch with Closure for Ileostomy Stoma Care, Cut-to-Fit","Wafer Size:1 to 2 1/2 inches, cut to fit",Gabby Gallagher,Good quality for the price.,"Bought these as I was running low on my supplies. Overall quality of the bags I would give 3 out of 5 stars. They stick well until they’re wet, (like most bags). I’ve noticed once they get wet they let out the odor that’s inside, outside. This box lasted me a little over a month, which I think is worth it for the price. I would definitely recommend to anyone who is in need of new bags or are running low on supplies. I would also suggest using a paste or the barrier rings with the bag as well to make it stick longer. Also note that you might have to use a clip on the closure as it does not hold as well as others.",7/20/2022,3,Yes,5
