Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Wangyanli,It feels stinging when used,"I use it as a toner, but when I apply it to my face with a cotton pad, it stings, so I guess it's not suitable for my skin.",10/7/2024,3,Yes,0
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Jonni,Citric Acid is a no go for me,"I'm sure this product works well for some people, however for me, the citric acid makes my cheeks flare up. It's so painful when I use it on my skin. I ended up giving it to my brother-in-law. I guess it's not for everyone. Make sure you try putting lemon juices on your face to see if you can use this toner!",10/2/2024,3,Yes,0
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",SR,Meh.,"Not sure what this is supposed to do, but it feels like literally splashing water on your face. No discernible effects. I bought the unscented version because I wanted to continue using my other cologne. I would almost rather use my old witch hazel, though, because I actually do miss that clean-smelling scent.",9/10/2024,3,Yes,0
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",AJ,Decent toner,Decent toner but not my favorite. Like it for getting makeup residue off,9/1/2024,3,Yes,0
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",shar,Bottle was leaking,"When I opened the box and took bottle out, it was wet and cap was loose.  I unscrewed cap and the seal was half way ripped off, so product was not sealed.  In todays day and age I don’t trust using a product that the seal was broke on.",8/11/2024,3,Yes,0
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Shanice,No changes,I have seen any improvement with my skin it’s still the same am not sure if I have to wait for some more time and continue to use it. But I if I don’t see any changes for the coming month I will not be buying it again,7/29/2024,3,Yes,0
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Cruncher,A bit disappointed…,"Toner was sticky and made face feel tight. I guess I expected it to feel more hydrating. It also came with a sticker that stretched from one side, over the cap, and to the other. This ensures no leakage but damaged the label of my toner upon removal.",7/13/2024,3,Yes,0
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Yellow Earrings,Oh well...,"My bad. I can't really rate the effectives of the product. But I wish the ad would include warnings for people with skin conditions. I thought since this didn't contain alcohol, but does contain aloe, that I could use it. But I have lupus skin and rosacea. An astringent is a no-no for these conditions. Ya live and learn.Oh, and this product makes no provision for returns, even if unopened.",6/12/2024,3,Yes,0
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",Hope C,Works well but smells super strong.,"It definitely gets all the residue and dirt off my face after I use my makeup remover, but it has a very strong scent- for that reason I won’t be purchasing again",6/29/2024,3,Yes,0
"Thayers Alcohol-Free Rose Petal Witch Hazel Facial Toner, Pore Minimizing, Soothing, Hydrating, Refreshing Toner for Normal and Combination Skin, 12oz","Elevate your skincare routine with Thayers Alcohol-Free Witch Hazel Toner, your one step prep for better-looking bare skin. Our clinically tested formula visibly reduces the appearance of pores, provides all day hydration and smooths skin texture. Leveraging the potent power of medicinal plants and derm actives, our pure-grade alcohol-free witch hazel and aloe vera soothes and balances while glycerin immediately hydrates and draws moisture to the skin. With nourishing natural ingredients, our toners can be used in countless ways. Tired of razor burn? Soothe irritation with Thayers. Prepping for a full face of glam? Our toner has you prepped. Do your nails need a refresh? Thayers cleanses nails before a mani. Dealing with sunburns, bug bites or fresh ink? This formula calms discomfort naturally. Thayers is backed by science to level up your skincare.",doggie lover,Disappointed,The reviews were great so I figured to try this. I really didn't like how it made my dace feel.,7/24/2024,3,Yes,0
